number,polling_station_code,polling_station_name,constituency,district,region,source
12475,C240315B,AGGREY ROAD 1AND3 PRIM NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12476,C240316A,AGGREY ROAD 1AND3 PRIM NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12477,C240316B,AGGREY ROAD 1AND3 PRIM NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12478,C240317,AGGREY ROAD 1AND3 PRIM NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12479,C240318,AGGREY ROAD 2AND4 PRIM NO.1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12480,C240319,AGGREY ROAD 2AND4 PRIM NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12481,C240401A,T.D.C RENT OFFICE 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12482,C240401B,T.D.C RENT OFFICE 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12483,C240402A,T.D.C RENT OFFICE 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12484,C240402B,T.D.C RENT OFFICE 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12485,C240403,T.D.C RENT OFFICE 3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12486,C240404,COMM.5 NO1 PRIM.SCH. NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12487,C240405,COMM.5 NO1 PRIM.SCH. NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12488,C240406A,COMM.5 NO1 PRIM.SCH. NO.2 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12489,C240406B,COMM.5 NO1 PRIM.SCH. NO.2 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12490,C240407,COMM.5 NO1 PRIM.SCH. NO.2 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12491,C240408,COMM.5 NO2 PRIM.SCH. NO.1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12492,C240409A,COMM.5NO.2 PRIM.SCH.NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12493,C240409B,COMM.5NO.2 PRIM.SCH.NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12494,C240410A,GOOD SHEPHERD PRIM.SCH 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12495,C240410B,GOOD SHEPHERD PRIM.SCH 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12496,C240411,GOOD SHEPHERD PRIM.SCH 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12497,C240412A,TEMA SEC.SCHOOL,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12498,C240412B,TEMA SEC.SCHOOL,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12499,C240501,STAR KG/PREP SCHOOL NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12500,C240502,STAR KG/PREP SCHOOL NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12501,C240503,STAR KG/PREP SCHOOL NO.2 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12502,C240504A,STAR KG/PREP SCHOOL NO.2 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12503,C240504B,STAR KG/PREP SCHOOL NO.2 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12504,C240505,STAR KG/PREP SCHOOL NO.3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12505,C240506A,COMM.5 NO.3 PRIM.SCH.NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12506,C240506B,COMM.5 NO.3 PRIM.SCH.NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12507,C240507,COMM.5 NO.3 PRIM.SCH.NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12508,C240508,COMM.5 NO.3 PRIM.SCH.NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12509,C240601,T.M.A PRIM SCH. NO.1 SAKUMONO VILLAGE 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12510,C240602A,T.M.A PRIM SCH. NO.1 SAKUMONO VILLAGE 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12511,C240602B,T.M.A PRIM SCH. NO.1 SAKUMONO VILLAGE 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12512,C240603,T.M.A PRIM SCH. NO.1 SAKUMONO VILLAGE 3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12513,C240604A,T.M.A PRIM SCH. NO.1 SAKUMONO VILLAGE 4,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12514,C240604B,T.M.A PRIM SCH. NO.1 SAKUMONO VILLAGE 4,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12515,C240605A,T.M.A NURSERY SCH. SAKUMONO VILLAGE 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12516,C240605B,T.M.A NURSERY SCH. SAKUMONO VILLAGE 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12517,C240606,T.M.A NURSERY SCH. SAKUMONO VILLAGE 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12518,C240607,T.M.A J.H.S SAKUMONO VILLAGE,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12519,C240608A,PRESBY CHURCH SAKUMONO VILLAGE NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12520,C240608B,PRESBY CHURCH SAKUMONO VILLAGE NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12521,C240609A,PRESBY CHURCH SAKUMONO VILLAGE NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12522,C240609B,PRESBY CHURCH SAKUMONO VILLAGE NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12523,C240610,PRESBY CHURCH SAKUMONO VILLAGE NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12524,C240611A,CHRIST PREP.SCHOOL SAKUMONO VILLAGE 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12525,C240611B,CHRIST PREP.SCHOOL SAKUMONO VILLAGE 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12526,C240612,CHRIST PREP.SCHOOL SAKUMONO VILLAGE 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12527,C240701A,BETHEL DAY NURSERY SAKUMONO EST.NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12528,C240701B,BETHEL DAY NURSERY SAKUMONO EST.NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12529,C240702,BETHEL DAY NURSERY SAKUMONO EST.NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12530,C240703,BETHEL DAY NURSERY SAKUMONO EST.NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12531,C240704A,HOLY CHILD NURS. SAKUMONO ESTATE 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12532,C240704B,HOLY CHILD NURS. SAKUMONO ESTATE 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12533,C240705,HOLY CHILD NURS. SAKUMONO ESTATE 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12534,C240706,HOLY CHILD NURS. SAKUMONO ESTATE 3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12535,C240707A,HOLY CHILD NURS. SAKUMONO ESTATE 4,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12536,C240707B,HOLY CHILD NURS. SAKUMONO ESTATE 4,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12537,C240708,HOLY CHILD NURSERY SAKUMONO ESTATE,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12538,C240709A,SAKUMONO ESTATE POLICE STATION,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12539,C240709B,SAKUMONO ESTATE POLICE STATION,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12540,C240710,HOLY CHILD J.H.S SAKUMONO ESTATE 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12541,C240711A,HOLY CHILD J.H.S SAKUMONO ESTATE 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12542,C240711B,HOLY CHILD J.H.S SAKUMONO ESTATE 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12543,C240712A,HOLY CHILD J.H.S SAKUMONO ESTATE 3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12544,C240712B,HOLY CHILD J.H.S SAKUMONO ESTATE 3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12545,C240713,SAKUMONO ESTATE COMPLEX SCHOOL 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12546,C240714,SAKUMONO ESTATE COMPLEX SCHOOL 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12547,C240715,SAKUMONO ESTATE COMPLEX SCHOOL 3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12548,C240716,N.T.H.C ESTATE SAKUMONO ESTATE NO. 1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12549,C240717A,N.T.H.C ESTATE SAKUMONO ESTATE NO. 1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12550,C240717B,N.T.H.C ESTATE SAKUMONO ESTATE NO. 1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12551,C240718,N.T.H.C ESTATE SAKUMONO ESTATE NO. 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12552,C240719A,SAKUMONO ESTATE PRESBY CHURCH 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12553,C240719B,SAKUMONO ESTATE PRESBY CHURCH 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12554,C240720,SAKUMONO ESTATE PRESBY CHURCH 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12555,C240721,CHRIST FOUNDATION FAMILY CHURCH 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12556,C240722,CHRIST FOUNDATION FAMILY CHURCH 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12557,C240723,PENTECOST INT. WORSHIP CENTRE (PIWC),TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12558,C240724A,BETHLEHEM PRAYER CAMP,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12559,C240724B,BETHLEHEM PRAYER CAMP,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12560,C240801A,COASTAL INTERNATIONAL SCHOOL 1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12561,C240801B,COASTAL INTERNATIONAL SCHOOL 1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12562,C240802,COASTAL INTERNATIONAL SCHOOL 1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12563,C240803A,COASTAL INTERNATIONAL SCHOOL 2 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12564,C240803B,COASTAL INTERNATIONAL SCHOOL 2 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12565,C240804A,COASTAL INTERNATIONAL SCHOOL 2 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12566,C240804B,COASTAL INTERNATIONAL SCHOOL 2 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12567,C240805A,ACCRA RIDGE CHURCH BAATSONAA (MANET CHAPEL) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12568,C240805B,ACCRA RIDGE CHURCH BAATSONAA (MANET CHAPEL) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12569,C240806A,ACCRA RIDGE CHURCH BAATSONAA (MANET CHAPEL) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12570,C240806B,ACCRA RIDGE CHURCH BAATSONAA (MANET CHAPEL) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12571,C240807,TMA JHS BAATSONAA 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12572,C240808,TMA JHS BAATSONAA 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12573,C240809,TMA JHS BAATSONAA 3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12574,C240810,APOSTOLIC CHURCH - BAATSONAA 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12575,C240811,APOSTOLIC CHURCH - BAATSONAA 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12576,C240812A,PAROUSIA CONGREGATION PRESBY CHURCH BAASTONA 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12577,C240812B,PAROUSIA CONGREGATION PRESBY CHURCH BAASTONA 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12578,C240813,PAROUSIA CONGREGATION PRESBY CHURCH BAASTONA 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12579,C240814A,PAROUSIA CONGREGATION PRESBY CHURCH BAASTONA 3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12580,C240814B,PAROUSIA CONGREGATION PRESBY CHURCH BAASTONA 3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12581,C240815,TMA PRIM. SCHOOL KOTOBAABI NO. 2 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12582,C240816,TMA PRIM. SCHOOL KOTOBAABI NO. 2 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12583,C240817A,MORE THAN CONQUERERS CHURCH KOTOBABI NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12584,C240817B,MORE THAN CONQUERERS CHURCH KOTOBABI NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12585,C240818,BAPTIST INTERNATIONAL CAMBODIA (KOTOBABI) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12586,C240819,BAPTIST INTERNATIONAL CAMBODIA (KOTOBABI) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12587,C240820,HOPE INTERNATIONAL MINISTRY MANET NO 1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12588,C240821,HOPE INTERNATIONAL MINISTRY MANET NO 1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12589,C240822,HOPE INTERNATIONAL MINISTRY MANET NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12590,C240823,SERWAA PLAZA,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12591,C240824A,PRESBY CHURCH - KOTOBABI NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12592,C240824B,PRESBY CHURCH - KOTOBABI NO.2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12593,C240901A,I C G C (A) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12594,C240901B,I C G C (A) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12595,C240902,I C G C (A) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12596,C240903A,I C G C (B) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12597,C240903B,I C G C (B) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12598,C240904,I C G C (B) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12599,C240905,MEDIEVAL CHURCH C 18,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12600,C240906A,GOLDEN GATE ACADEMY 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12601,C240906B,GOLDEN GATE ACADEMY 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12602,C240907A,GOLDEN GATE ACADEMY 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12603,C240907B,GOLDEN GATE ACADEMY 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12604,C240908,GOOD SHEPHERD E P CHURCH LASHIBI 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12605,C240909A,GOOD SHEPHERD E P CHURCH LASHIBI 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12606,C240909B,GOOD SHEPHERD E P CHURCH LASHIBI 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12607,C240910A,ST. JAMES PRIM. SCHOOL NEW LASHIBI C.17 NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12608,C240910B,ST. JAMES PRIM. SCHOOL NEW LASHIBI C.17 NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12609,C240911,ST. JAMES PRIM. SCHOOL NEW LASHIBI C.17 NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12610,C240912A,ST. JAMES JHS NEW LASHIBI C.17 NO. 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12611,C240912B,ST. JAMES JHS NEW LASHIBI C.17 NO. 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12612,C240913,ST. JAMES PRIM. SCHOOL NEW LASHIBI C.17 NO.2 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12613,C240914A,ST. JAMES PRIM. SCHOOL NEW LASHIBI C.17 NO.2 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12614,C240914B,ST. JAMES PRIM. SCHOOL NEW LASHIBI C.17 NO.2 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12615,C240915A,T.M.A PRIM. SCH.OLD LASHIBI NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12616,C240915B,T.M.A PRIM. SCH.OLD LASHIBI NO.1 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12617,C240916A,T.M.A PRIM. SCH.OLD LASHIBI NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12618,C240916B,T.M.A PRIM. SCH.OLD LASHIBI NO.1 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12619,C240917A,CHURCH OF PENTECOST JOY ASSEMBLY 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12620,C240917B,CHURCH OF PENTECOST JOY ASSEMBLY 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12621,C240918,CHURCH OF PENTECOST JOY ASSEMBLY 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12622,C240919A,IBAADU RAHMAN ISLAMIC SCHOOL 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12623,C240919B,IBAADU RAHMAN ISLAMIC SCHOOL 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12624,C240920,IBAADU RAHMAN ISLAMIC SCHOOL 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12625,C240921A,TRIUMPHANT GRACE BAPTIST CHURCH C.17,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12626,C240921B,TRIUMPHANT GRACE BAPTIST CHURCH C.17,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12627,C240922,CORPUS CHRISTIE JHS COMM.18 (A) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12628,C240923A,CORPUS CHRISTIE JHS COMM.18 (A) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12629,C240923B,CORPUS CHRISTIE JHS COMM.18 (A) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12630,C240924,CORPUS CHRISTIE JHS COMM.18 (A) 3,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12631,C240925A,CORPUS CHRISTIE JHS COMM.18 (A) 4,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12632,C240925B,CORPUS CHRISTIE JHS COMM.18 (A) 4,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12633,C240926,CORPUS CHRISTIE JHS COMM.18 (B) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12634,C240927A,CORPUS CHRISTIE JHS COMM.18 (B) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12635,C240927B,CORPUS CHRISTIE JHS COMM.18 (B) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12636,C240928A,REGIMANUEL GRAY SITE (C19) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12637,C240928B,REGIMANUEL GRAY SITE (C19) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12638,C240929A,REGIMANUEL GRAY SITE (C19) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12639,C240929B,REGIMANUEL GRAY SITE (C19) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12640,C240930A,TMA PRIM SCHOOL NEW LASHIBI C.18,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12641,C240930B,TMA PRIM SCHOOL NEW LASHIBI C.18,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12642,C240931A,DESMACO ( SITE OFFICE COMM.20) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12643,C240931B,DESMACO ( SITE OFFICE COMM.20) 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12644,C240932,DESMACO ( SITE OFFICE COMM.20) 2,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
12645,C240933A,ROMAN CATH PRIM SCH COMM.20 1,TEMA WEST,TEMA WEST,GREATER ACCRA,Ghana Electoral Commission 2024 Polling Stations
